Species,GF,log LL,log LMA,log Nmass,log Narea,,,,
Artemisia leucotricha,S,,2.00,,,,,,
Artemisia pamirica,S,,1.85,,,,,,
Artemisia rhodantha,S,,1.94,,,,,,
Comarum salesovianum,S,,1.54,,,,,,
Dracocephalum heterophyllum,S,,1.84,,,,,,
Ephedra regeliana,S,,1.88,,,,,,
Krascheninnikovia ceratoides,S,,1.97,,,,,,
Myricaria squamosa,S,,2.04,,,,,,
Pentaphylloides dryadanthoides,S,,1.94,,,,,,
Clematis tangutica,S,,1.91,,,,,,
Lonicera semenovii,S,,1.89,,,,,,
Linnaea borealis,S,,1.48,0.053,-0.261,,,,
Genista tinctoria,S,,1.78,0.494,0.424,,,,
Moneses uniflora,S,,1.76,0.310,0.063,,,,
Orthilia secunda,S,,1.93,0.173,-0.033,,,,
Pyrola media,S,,1.69,0.182,-0.131,,,,
Pyrola minor,S,,1.53,0.201,-0.272,,,,
Pyrola rotundifolia,S,,1.69,0.161,-0.148,,,,
Vaccinium myrtillus,S,,1.36,0.344,-0.296,,,,
Arctostaphylos uva-ursi,S,1.26,2.11,0.090,0.196,,,,
Vaccinium myrtillus,S,0.54,1.77,0.369,0.136,,,,
Gutierrezia sarothrae,S,0.78,2.47,0.225,0.695,,,,
Larrea tridentata,S,1.08,2.40,0.288,0.690,,,,
Lyonia lucida,S,1.29,2.38,-0.036,0.340,,,,
Persea borbonia,S,1.26,2.05,0.215,0.261,,,,
Vaccinium arboreum,S,1.04,2.10,0.083,0.179,,,,
Vaccinium corymbosum,S,0.88,2.01,0.090,0.099,,,,
Manihot esculenta,S,0.18,1.56,0.600,0.160,,,,
Andromeda glaucophylla,S,1.11,2.12,0.143,0.264,,,,
Chamaedaphne calyculata,S,1.11,1.94,0.076,0.015,,,,
Cornus racemosa,S,0.78,1.91,0.161,0.071,,,,
Ilex verticillata,S,0.78,1.96,0.190,0.147,,,,
Lonicera bella,S,0.83,1.92,0.279,0.200,,,,
Rhamnus cathartica,S,0.83,1.94,0.362,0.301,,,,
Acacia dimidiata,S,,2.30,0.334,0.634,,,,
Grevillea pyramidalis,S,,2.99,-0.253,0.538,,,,
Petalostigma quadriloculare,S,,2.31,-0.162,0.144,,,,
Carissa lanceolata,S,,2.35,0.109,0.458,,,,
Melaleuca sp,S,,2.78,0.010,0.793,,,,
Cycas armstrongii,S,,2.17,0.323,0.490,,,,
Persoonia falcata,S,,2.32,-0.138,0.180,,,,
Grevillea dimidiata,S,,2.52,-0.112,0.411,,,,
Spiraea tomentosa,S,,1.75,,,,,,
Andromeda glaucophylla,S,1.26,2.37,0.057,0.430,,,,
Aronia melanocarpa,S,0.78,1.99,0.241,0.229,,,,
Chamaedaphne calyculata,S,1.26,2.07,0.134,0.206,,,,
Gaylussacia baccata,S,0.78,1.83,0.220,0.050,,,,
Ilex verticillata,S,0.78,1.72,0.403,0.120,,,,
Ledum groenlandicum,S,1.26,2.05,0.149,0.201,,,,
Nemopanthus mucronata,S,0.78,1.80,0.210,0.006,,,,
Spiraea alba,S,0.78,1.91,0.318,0.228,,,,
Spiraea tomentosa,S,0.78,1.88,0.270,0.146,,,,
Vaccinium myrtilLoides,S,0.78,1.95,0.188,0.135,,,,
Viburnum cassinoides,S,0.78,1.94,0.318,0.261,,,,
Capparis verrucosa,S,1.08,2.05,0.499,0.550,,,,
Capparis aristiguetae,S,1.08,2.16,0.346,0.507,,,,
Allocasuarina pusilla,S,,2.59,0.025,0.610,,,,
Banksia marginata,S,,2.35,-0.201,0.146,,,,
Banksia ornata,S,,2.42,-0.174,0.246,,,,
Calytrix alpestris,S,,2.68,0.017,0.695,,,,
Hibbertia riparia,S,,2.28,0.033,0.309,,,,
Hibbertia sericea,S,,2.68,0.021,0.699,,,,
Phyllota remota,S,,2.25,0.155,0.407,,,,
Xanthorrhoea australis,S,,2.74,-0.328,0.417,,,,
Baeckea crassifolia,S,,2.54,-0.027,0.511,,,,
Hakea muellerana,S,,2.49,-0.268,0.227,,,,
Melaleuca uncinata,S,,2.66,0.097,0.754,,,,
Banksia marginata,S,,2.17,-0.071,0.103,,,,
Leptospermum myrsinoides,S,,2.17,0.033,0.207,,,,
Dillenia suffruticosa,S,,1.93,,,,,,
Melastoma malabathricum,S,,1.89,,,,,,
Rhododendron anthopogon,S,,2.24,0.311,0.554,,,,
Salix anticecrenata Monadelpha,S,,1.93,0.477,0.407,,,,
Ipomoea carnea,S,,,,,,,,
Jatropha gossypifolia,S,,,,,,,,
Corylus americanus,S,,2.02,0.303,0.336,,,,
Scaevola taccada,S,,1.88,,,,,,
Tarenna fragrans,S,,1.98,,,,,,
Melastoma malabathricum,S,,1.99,,,,,,
Ixora congesta,S,,2.13,,,,,,
Trema cannabina,S,,1.86,,,,,,
Adenanthos cygnorum,S,1.60,2.37,-0.103,0.263,,,,
Andersonia heterophylla,S,1.03,2.41,-0.027,0.386,,,,
Astroloma xerophyllum,S,0.94,2.35,-0.009,0.340,,,,
Bossiaea eriocarpa,S,1.21,2.30,0.276,0.581,,,,
Calytrix flavescens,S,1.44,2.38,0.011,0.389,,,,
Conostephium pendulum,S,1.43,2.33,-0.040,0.295,,,,
Eremaea pauciflora,S,1.15,2.30,0.063,0.362,,,,
Hibbertia huegelii,S,1.17,2.26,0.043,0.305,,,,
Hibbertia subvaginata,S,1.23,2.39,0.120,0.511,,,,
Jacksonia floribunda,S,1.52,2.49,0.205,0.699,,,,
Leucopogon conostephioides,S,1.15,2.20,0.044,0.240,,,,
Macrozamia riedlei,S,2.02,2.46,0.238,0.701,,,,
Melaleuca acerosa,S,1.39,2.52,-0.071,0.451,,,,
Persoonia saccata,S,1.47,2.66,-0.148,0.517,,,,
Petrophile linearis,S,1.62,2.74,-0.206,0.530,,,,
Regelia ciliata,S,1.28,2.19,0.052,0.241,,,,
Scholtzia involucrata,S,1.37,2.25,0.115,0.364,,,,
Stirlingia latifolia,S,1.46,2.46,-0.033,0.430,,,,
Verticordia nitens,S,1.26,2.52,0.050,0.571,,,,
Xanthorrhoea preissii,S,1.38,2.87,-0.098,0.773,,,,
Erica scoparia,S,,2.11,0.140,0.249,,,,
Maytenus canariensis,S,,2.07,0.192,0.264,,,,
Viburnum rigidum,S,,2.15,0.107,0.260,,,,
Adenocarpus foliolosus,S,,2.00,0.590,0.589,,,,
Argyranthemum spp.,S,,2.14,0.054,0.196,,,,
Bupleurum salicifolium,S,,2.15,0.335,0.482,,,,
Chamaecytisus proliferus,S,,2.33,0.109,0.443,,,,
Cistus monspeliensis,S,,2.18,0.485,0.666,,,,
Cistus simphytifolius,S,,2.22,0.177,0.395,,,,
Daphne gnidium,S,,2.20,0.210,0.412,,,,
Dorycnium spectabile,S,,1.91,0.564,0.469,,,,
Hypericum reflexum,S,,2.04,0.007,0.047,,,,
Jasminum odoratisimum,S,,2.19,0.306,0.496,,,,
Rumex lunaria,S,,1.97,0.331,0.302,,,,
Heteromeles arbutifolia,S,,2.29,-0.165,0.120,,,,
Rhamnus californica,S,,1.97,0.127,0.098,,,,
Adenostoma fasciculatum,S,,2.28,-0.116,0.160,,,,
Arctostaphylos crustacea,S,,2.39,0.011,0.402,,,,
Ceanothus cuneatus,S,,2.44,0.122,0.566,,,,
Diplacus aurantiacus,S,,2.08,0.248,0.328,,,,
Eriodictyon californicum,S,,2.44,-0.013,0.423,,,,
Lepechinia calycina,S,,2.05,0.468,0.521,,,,
Artemisia tridentata,S,,2.12,0.203,0.321,,,,
Chrysothamnus nauseosus,S,,2.09,0.286,0.374,,,,
Flourensia cernua,S,,2.06,0.387,0.451,,,,
Larrea tridentata,S,,2.08,0.379,0.464,,,,
Simmondsia chinensis,S,,2.29,0.235,0.529,,,,
Salix arctica,S,,1.88,0.698,0.575,,,,
Dryas integrifolia,S,,2.03,0.002,0.028,,,,
Cassiope tetragona,S,,2.04,0.243,0.287,,,,
Arctostaphylos uva-ursi,S,,2.50,-0.155,0.348,,,,
Cistus albidus,S,,2.27,0.053,0.321,,,,
Cistus ladanifer,S,,2.46,0.230,0.686,,,,
Cistus libanotis,S,,2.43,0.179,0.612,,,,
Cistus monspeliensis,S,,2.38,0.114,0.492,,,,
Cistus salvifolius,S,,1.98,0.220,0.199,,,,
Halimium commutatum,S,,2.47,-0.036,0.432,,,,
Halimium halimifolium,S,,2.22,0.134,0.350,,,,
Halimium umbellatum,S,,2.45,0.104,0.553,,,,
Lavandula stoechas,S,,2.20,0.196,0.396,,,,
Phlomis purpurea,S,,,0.407,,,,,
Quercus coccifera,S,,2.22,0.155,0.374,,,,
Rosmarinus officinalis,S,,2.33,0.079,0.413,,,,
Calluna vulgaris,S,,2.15,-0.208,-0.059,,,,
Cistus laurifolius,S,,2.47,0.161,0.631,,,,
Cistus populifolius,S,,2.31,0.124,0.438,,,,
Erica scoparia,S,,2.21,0.127,0.336,,,,
Myrtus communis,S,,1.98,0.176,0.159,,,,
Nerium oleander,S,,2.26,0.143,0.402,,,,
Quercus lusitanica,S,,2.17,0.158,0.328,,,,
Rubus ulmifolius,S,,1.92,0.310,0.234,,,,
Piper aequale,S,1.37,1.56,0.445,0.007,,,,
Piper amalago,S,1.44,1.56,0.377,-0.063,,,,
Piper auritum,S,0.62,1.45,0.574,0.023,,,,
Piper hispidum,S,1.13,1.48,0.452,-0.067,,,,
Piper lapathifolium,S,1.23,1.50,0.436,-0.068,,,,
Piper peltatum,S,0.41,1.36,0.371,-0.267,,,,
Piper umbellatum,S,0.55,1.52,0.441,-0.038,,,,
Astrotricha floccosa,S,0.79,1.92,0.201,0.116,,,,
Correa reflexa,S,1.07,1.85,0.099,-0.049,,,,
Dodonaea triquetra,S,0.91,1.98,0.279,0.255,,,,
Gompholobium latifolium,S,1.42,1.98,0.233,0.211,,,,
Lasiopetalum ferrugineum,S,1.38,2.08,0.064,0.147,,,,
Leptospermum polygalifolium,S,0.87,1.96,0.116,0.078,,,,
Lomatia silaifolia,S,1.44,2.15,-0.208,-0.063,,,,
Macrozamia communis,S,,2.43,0.129,0.560,,,,
Pomaderris ferruginea,S,1.06,1.99,0.108,0.103,,,,
Pultenea daphnoides,S,0.97,1.97,0.290,0.264,,,,
Pultenea flexilis,S,1.22,1.96,0.309,0.266,,,,
Acacia suaveolens,S,1.47,2.34,0.281,0.625,,,,
Banksia marginata,S,1.56,2.23,-0.071,0.160,,,,
Boronia ledifolia,S,1.29,2.20,0.076,0.278,,,,
Eriostemon australasius,S,1.08,2.17,0.079,0.245,,,,
Gompholobium grandiflorum,S,1.45,2.11,0.089,0.202,,,,
Grevillea buxifolia,S,1.18,2.04,-0.150,-0.109,,,,
Grevillea speciosa,S,1.27,2.19,-0.066,0.120,,,,
Hakea dactyloides,S,1.62,2.41,-0.272,0.136,,,,
Hakea teretifolia,S,1.32,2.53,-0.287,0.043,,,,
Hibbertia bracteata,S,1.04,2.04,0.017,0.059,,,,
Lambertia formosa,S,1.47,2.35,-0.219,0.127,,,,
Leptospermum trinervium,S,1.35,2.11,-0.069,0.041,,,,
Persoonia levis,S,1.66,2.26,-0.229,0.032,,,,
Phyllota phylicoides,S,1.35,2.08,0.093,0.170,,,,
Pimelea linifolia,S,1.10,1.76,0.172,-0.073,,,,
Acacia doratoxylon,S,1.30,2.34,0.302,0.642,,,,
Acacia oswaldii,S,1.32,2.42,0.264,0.686,,,,
Atriplex stipitata,S,0.80,1.92,0.462,0.383,,,,
Dodonaea viscosa angustissima,S,0.90,2.23,0.269,0.495,,,,
Dodonaea viscosa cuneata,S,0.99,2.05,0.296,0.351,,,,
Dodonaea viscosa spatulata,S,1.01,2.12,0.297,0.418,,,,
Eremophila glabra,S,1.24,2.21,0.227,0.440,,,,
Eremophila longifolia,S,1.18,2.43,0.166,0.595,,,,
Eremophila mitchelli,S,1.15,2.25,0.270,0.523,,,,
Hakea tephrosperma,S,1.61,2.70,-0.136,0.369,,,,
Helichrysum apiculatum,S,,1.58,0.433,0.017,,,,
Melaleuca uncinata,S,1.24,2.45,0.105,0.358,,,,
Olearia pimelioides,S,1.14,2.07,0.390,0.464,,,,
Philotheca difformis,S,1.28,2.44,0.170,0.609,,,,
Pimelea microcephala,S,0.88,1.91,0.489,0.394,,,,
Senna artemisioides 1lft,S,1.29,2.54,0.298,0.645,,,,
Senna artemisioides 3lft,S,1.32,2.45,0.239,0.493,,,,
Solanum ferocissium,S,0.81,1.88,0.514,0.391,,,,
Spartothamnella puberula,S,0.98,1.97,0.472,0.437,,,,
Acacia colletioides,S,1.57,2.56,0.252,0.615,,,,
Acacia havilandiorum,S,1.32,2.62,0.163,0.583,,,,
Acacia willhelmiana,S,1.08,2.21,0.277,0.482,,,,
Bertya cunninghamii,S,1.21,2.23,0.282,0.510,,,,
Beyeria opaca,S,1.17,2.20,0.236,0.439,,,,
Bossiaea walkeri,S,1.75,2.50,0.085,0.586,,,,
Cassinia laevis,S,1.00,2.11,0.267,0.381,,,,
Eremophila deserti,S,1.46,2.34,0.203,0.541,,,,
Eremophila glabra,S,1.20,2.19,0.263,0.456,,,,
Eutaxia microphylla,S,1.07,1.95,0.276,0.225,,,,
Grevillea aneura,S,,2.16,0.093,0.255,,,,
Melaleuca uncinata,S,1.20,2.58,0.061,0.446,,,,
Micromyrtus sessilis,S,,2.32,0.179,0.504,,,,
Olearia decurrens,S,1.05,2.19,0.235,0.426,,,,
Olearia pimelioides,S,0.96,2.01,0.367,0.380,,,,
Philotheca difformis,S,1.43,2.25,0.138,0.387,,,,
Baccharis pedunculata,S,,1.79,,,,,,
Sieversia pentapetala,S,0.33,1.79,0.415,0.205,,,,
Leucadendron lanigerum,S,,2.36,-0.350,0.007,,,,
Leucadendron pubescens (m&f),S,,2.29,-0.234,0.063,,,,
Protea bracteolaris,S,,2.46,0.014,0.564,,,,
Protea laurifolia,S,,2.55,0.019,0.572,,,,
Protea nitida,S,,2.53,-0.327,0.204,,,,
Leucadendron salignum (m&f),S,,2.35,-0.139,0.218,,,,
Protea burchellii,S,,2.48,-0.065,0.414,,,,
Protea laurifolia,S,,2.41,-0.168,0.239,,,,
Protea repens,S,,2.47,-0.155,0.316,,,,
Aulax umbellata,S,,2.30,-0.142,0.160,,,,
Leucadendron arcuatum (m&f),S,,2.54,-0.354,0.182,,,,
Leucadendron salignum (m&f),S,,2.40,-0.274,0.130,,,,
Protea laurifolia,S,,2.57,-0.264,0.308,,,,
Protea repens,S,,2.56,-0.392,0.166,,,,
Leucadendron brunoides,S,,2.64,-0.232,0.405,,,,
Leucadendron pubescens (m&f),S,,2.46,-0.267,0.193,,,,
Protea glabra,S,,2.72,-0.183,0.537,,,,
Protea laurifolia,S,,2.65,-0.249,0.404,,,,
Leucadendron pubescens (m&f),S,,2.26,-0.284,-0.020,,,,
Leucadendron salignum (m&f),S,,2.34,-0.194,0.150,,,,
Paranomus bracteolaris,S,,2.46,-0.077,0.473,,,,
Protea nitida,S,,2.41,-0.128,0.283,,,,
Diastella divaricata,S,,2.10,0.024,0.122,,,,
Leucadendron laureolum,S,,2.34,-0.310,0.033,,,,
Leucadendron salignum (m&f),S,,2.37,-0.361,0.005,,,,
Leucospermum conocarpodendron,S,,2.37,-0.186,0.187,,,,
Leucospermum hypophyllocarpodendron,S,,2.38,-0.291,0.091,,,,
Mimetes fibrifolium,S,,2.21,-0.160,0.049,,,,
Protea speciosa,S,,2.67,-0.476,0.190,,,,
Serruria hirsuta,S,,2.29,-0.144,0.245,,,,
Leucadendron foedum (m&f),S,,2.41,-0.154,0.277,,,,
Protea repens,S,,2.49,-0.066,0.421,,,,
Serruria fucifolia,S,,2.41,0.165,0.672,,,,
Leucadendron salignum (m&f),S,,2.34,-0.233,0.112,,,,
Leucospermum conocarpodendron,S,,2.32,-0.145,0.174,,,,
Protea nerifolia,S,,2.42,-0.134,0.282,,,,
Protea nitida,S,,2.43,-0.032,0.398,,,,
Serruria sp,S,,2.28,-0.057,0.321,,,,
Leucadendron salignum (m&f),S,,2.37,-0.175,0.201,,,,
Protea laurifolia,S,,2.46,0.175,0.635,,,,
Protea neriifolia,S,,2.42,-0.133,0.285,,,,
Protea repens,S,,2.50,-0.123,0.376,,,,
Aulax umbellata,S,,2.27,-0.050,0.224,,,,
Leucadendron conifesula,S,,2.38,-0.106,0.278,,,,
Leucadendron salignum (m&f),S,,2.34,-0.140,0.219,,,,
Mimetes cucullatus,S,,2.30,-0.319,-0.017,,,,
Protea susannae,S,,2.48,-0.090,0.394,,,,
Serruria nervosa,S,,2.38,-0.052,0.326,,,,
Aulax umbellata (m&f),S,,2.34,-0.110,0.246,,,,
Leucadendron xanthoconus (m&f),S,,1.94,-0.188,-0.250,,,,
Leucospermum cordifolium,S,,2.41,-0.198,0.210,,,,
Mimetes cucullatus,S,,2.36,-0.295,0.068,,,,
Protea cordata,S,,2.49,-0.180,0.310,,,,
Protea neriifolia,S,,2.44,-0.231,0.209,,,,
Serruria fasciflora,S,,2.41,-0.085,0.422,,,,
Leucadendron laureolum,S,,2.37,-0.084,0.291,,,,
Leucadendron xanthoconus (m&f),S,,2.15,-0.102,0.044,,,,
Leucospermum cordifolium,S,,2.40,-0.142,0.256,,,,
Protea compacta,S,,2.45,-0.232,0.215,,,,
Protea neriifolia,S,,2.46,-0.006,0.451,,,,
Aulax umbellata (m&f),S,,2.27,-0.085,0.188,,,,
Leucadendron salignum (m&f),S,,2.18,-0.207,-0.027,,,,
Protea cordata,S,,2.45,-0.194,0.260,,,,
Protea neriifolia,S,,2.53,-0.070,0.456,,,,
Protea repens,S,,2.52,-0.257,0.259,,,,
Hakea amplexicaulis,S,,2.32,-0.445,-0.126,,,,
Hakea cristata,S,,2.51,-0.212,0.294,,,,
Hakea cyclocarpa,S,,2.58,-0.381,0.202,,,,
Hakea erinacea,S,,2.38,-0.334,-0.058,,,,
Hakea incrassata,S,,2.59,-0.188,0.406,,,,
Hakea lissocarpha,S,,2.50,-0.361,0.035,,,,
Hakea myrtoides,S,,2.21,-0.260,-0.050,,,,
Hakea petiolaris,S,,2.46,-0.143,0.313,,,,
Hakea ruscifolia,S,,2.34,-0.268,0.067,,,,
Hakea stenocarpa,S,,2.26,-0.213,0.048,,,,
Hakea trifurcata (needle),S,,2.55,,,,,,
Hakea undulata,S,,2.30,-0.110,0.185,,,,
Hakea anadenia,S,,2.40,-0.188,0.211,,,,
Hakea auriculata,S,,2.69,-0.268,0.425,,,,
Hakea conchifolia,S,,2.36,-0.226,0.137,,,,
Hakea costata,S,,2.25,-0.476,-0.225,,,,
Hakea eneabba,S,,2.60,-0.365,0.240,,,,
Hakea flabellifolia,S,,2.74,-0.305,0.437,,,,
Hakea incrassata,S,,2.62,-0.188,0.428,,,,
Hakea longiflora,S,,2.57,-0.553,-0.092,,,,
Hakea marginata,S,,2.36,-0.268,0.088,,,,
Hakea megalosperma,S,,2.42,-0.423,0.002,,,,
Hakea neurophylla,S,,2.52,-0.268,0.254,,,,
Hakea prostrata,S,,2.54,-0.110,0.432,,,,
Hakea psilorryncha,S,,2.91,-0.462,0.344,,,,
Hakea spathulata,S,,2.50,-0.305,0.200,,,,
Hakea trifurcata (needle),S,,2.70,,,,,,
Hakea adnata,S,,2.68,-0.376,0.200,,,,
Hakea bicornata,S,,2.85,-0.355,0.388,,,,
Hakea pandicarpa pandicarpa,S,,2.73,-0.251,0.481,,,,
Hakea scoparia trycherica,S,,2.80,-0.211,0.483,,,,
Hakea acuminata,S,,2.61,-0.344,0.270,,,,
Hakea cinerea,S,,2.73,-0.196,0.539,,,,
Hakea hookeriana,S,,2.73,-0.305,0.426,,,,
Hakea ilicifolia,S,,2.76,-0.520,0.240,,,,
Hakea lasiocarpha,S,,2.67,-0.333,0.337,,,,
Hakea nitida,S,,2.57,-0.313,0.255,,,,
Hakea obtusa,S,,2.36,-0.128,0.235,,,,
Hakea verrucosa,S,,2.72,-0.449,0.164,,,,
Hakea victoria,S,,2.68,-0.323,0.355,,,,
Hakea bucculenta,S,,2.65,-0.075,0.576,,,,
Hakea orthorryncha filiformis,S,,2.78,-0.449,0.228,,,,
Hakea orthorryncha orthorryncha,S,,2.80,-0.196,0.601,,,,
Hakea pycnoneura,S,,2.53,-0.387,0.145,,,,
Hakea stenophylla,S,,2.61,-0.058,0.555,,,,
Hakea commutata,S,,2.80,-0.286,0.408,,,,
Hakea cygna cygna,S,,2.66,-0.365,0.297,,,,
Hakea cygna needlei,S,,2.71,-0.017,0.590,,,,
Hakea horrida,S,,2.64,-0.399,0.245,,,,
Hakea kippistiana,S,,2.80,-0.215,0.477,,,,
Hakea newbeyana,S,,2.90,-0.420,0.378,,,,
Hakea obliqua parviflora,S,,2.93,-0.553,0.269,,,,
Hakea strumosa,S,,2.90,-0.504,0.289,,,,
Hakea subsulcata,S,,2.60,-0.134,0.357,,,,
Hakea erecta,S,,2.58,-0.606,-0.022,,,,
Hakea francisiana,S,,2.56,-0.349,0.214,,,,
Hakea invaginata,S,,2.85,-0.295,0.449,,,,
Hakea minyma,S,,2.56,-0.069,0.487,,,,
Hakea multilineata,S,,2.52,-0.489,0.030,,,,
Hakea drupacea,S,,2.62,-0.355,0.263,,,,
Hakea elliptica,S,,2.28,-0.196,0.088,,,,
Hakea ferruginea,S,,2.23,-0.411,-0.177,,,,
Hakea lasiantha,S,,2.38,-0.330,0.048,,,,
Hakea laurina,S,,2.45,-0.182,0.268,,,,
Hakea preissii,S,,2.96,-0.344,0.507,,,,
Hakea ruscifolia,S,,2.35,-0.268,0.081,,,,
Hakea sulcata,S,,2.82,-0.355,0.364,,,,
Hakea tuberculata,S,,2.37,-0.319,0.054,,,,
Hakea ambigua,S,,2.40,-0.219,0.178,,,,
Hakea baxteri,S,,2.78,-0.411,0.367,,,,
Hakea ceratophylla,S,,2.83,-0.394,0.437,,,,
Hakea corymbosa,S,,2.86,-0.434,0.431,,,,
Hakea cucullata,S,,2.51,-0.182,0.329,,,,
Hakea denticulata,S,,2.56,-0.318,0.245,,,,
Hakea lehmanniana,S,,2.55,-0.475,0.072,,,,
Hakea pandicarpa crassifolia,S,,2.86,-0.426,0.429,,,,
Hakea pritzelii,S,,2.55,-0.167,0.379,,,,
Hakea prostrata,S,,2.44,-0.358,0.085,,,,
Hakea trifurcata (needle),S,,2.77,,,,,,
Hakea varia,S,,2.63,-0.471,0.154,,,,
Hakea amplexicaulis,S,,2.39,-0.445,-0.054,,,,
Hakea falcata,S,,2.19,,,,,,
Hakea florida,S,,2.52,-0.301,0.217,,,,
Hakea linearis,S,,2.55,-0.226,0.326,,,,
Hakea oleifolia,S,,2.50,-0.292,0.209,,,,
Hakea prostrata,S,,2.62,-0.358,0.265,,,,
Hakea brownii,S,,2.79,-0.489,0.296,,,,
Hakea candolleana,S,,2.69,-0.251,0.435,,,,
Hakea circumalata,S,,2.51,,,,,,
Hakea cygna cygna,S,,2.68,-0.365,0.318,,,,
Hakea gilbertii,S,,2.67,-0.476,0.087,,,,
Hakea obliqua parviflora,S,,2.78,-0.553,0.117,,,,
Hakea platysperma,S,,2.94,-0.476,0.358,,,,
Hakea polyanthema,S,,2.71,-0.355,0.251,,,,
Hakea recurva arida,S,,2.96,-0.219,0.641,,,,
Hakea recurva recurva,S,,3.18,-0.277,0.797,,,,
Hakea scoparia scoparia,S,,2.77,-0.365,0.301,,,,
Alnus crispa,S,0.56,1.84,0.301,0.140,,,,
Andromeda polifolia,S,,2.19,,,,,,
Arctous alpina,S,,1.99,,,,,,
Betula glandulosa,S,0.56,1.80,0.377,0.176,,,,
Betula nana,S,0.56,1.89,0.319,0.205,,,,
Cassiope tetragona,S,1.78,2.40,0.079,0.477,,,,
Dryas integrifolia,S,1.16,2.30,0.166,0.466,,,,
Dryas octopetala,S,1.12,1.87,0.446,0.315,,,,
Empetrum nigrum,S,1.78,2.25,0.041,0.287,,,,
Ledum groenlandicum,S,,2.10,0.079,0.180,,,,
Ledum palustre,S,1.26,2.27,0.152,0.426,,,,
Loiseleuria procumbens,S,1.78,2.34,-0.046,0.297,,,,
Salix alaxensis,S,0.56,2.00,0.255,0.251,,,,
Salix arctica,S,0.56,1.94,0.292,0.232,,,,
Salix fuscescens,S,,1.87,,,,,,
Salix glauca,S,0.56,1.93,0.342,0.272,,,,
Salix pulchra,S,0.56,1.96,0.342,0.304,,,,
Salix reticulata,S,0.56,1.96,,,,,,
Vaccinium ulignosum,S,0.56,1.91,0.373,0.283,,,,
Vaccinium vitis-idaea,S,1.56,2.25,-0.004,0.246,,,,
Aristotelia fruiticosa,S,,2.07,0.267,0.339,,,,
Brachyglottis revolutus,S,,2.52,0.039,0.557,,,,
Cassinia vauvilliersii,S,,2.29,0.037,0.329,,,,
Coprosma alpina,S,,2.29,-0.046,0.247,,,,
Coprosma cheesemanii,S,,2.13,0.201,0.332,,,,
Coprosma ciliata,S,,2.13,0.224,0.354,,,,
Coprosma parviflora,S,,2.08,0.281,0.361,,,,
Coprosma rugosa,S,,2.17,0.251,0.419,,,,
Coprosma serrulata,S,,2.38,-0.011,0.368,,,,
Dracophyllum uniflorum,S,,2.35,-0.061,0.293,,,,
Draracophyllum prostratum,S,,2.14,-0.055,0.080,,,,
Gaultheria crassa,S,,2.30,0.024,0.321,,,,
Halocarpus bidwillii,S,,2.19,0.049,0.240,,,,
Hebe argentea,S,,2.33,0.115,0.450,,,,
Hebe cockayneana,S,,2.32,0.040,0.363,,,,
Hebe hectorii,S,,2.63,-0.218,0.414,,,,
Hebe odora,S,,2.40,-0.142,0.260,,,,
Hebe pauciflora,S,,2.20,0.106,0.304,,,,
Hebe pauciramosa,S,,2.51,-0.196,0.314,,,,
Hebe subalpina,S,,2.34,-0.016,0.321,,,,
Lepidothamnus laxifolius,S,,2.09,0.008,0.099,,,,
Myrsine nummularia,S,,2.11,0.023,0.128,,,,
Olearia moschata,S,,2.24,0.193,0.434,,,,
Olearia numularifolia,S,,2.35,0.030,0.378,,,,
Olearia virgata,S,,2.23,0.300,0.528,,,,
Phyocladus alpinus,S,,2.55,-0.070,0.481,,,,
Podocarpus nivalis,S,,2.31,0.006,0.315,,,,
Cheirodendron tryginum,T,,1.95,0.076,0.028,,,,
Comprosma ochracea,T,,1.90,0.111,0.007,,,,
Meterosideros polymorpha pb,T,,2.49,-0.137,0.354,,,,
Myoporum sandwicensis,T,,2.17,0.111,0.278,,,,
Myrsine lessertiana,T,,2.19,-0.018,0.175,,,,
Pelea sp,T,,1.82,0.114,-0.067,,,,
Rhus sandwicensis,T,,1.68,0.146,-0.171,,,,
Sophora chrysophylla,T,,2.06,0.461,0.521,,,,
Meterosideros polymorpha pb,T,,2.29,-0.066,0.224,,,,
Meterosideros polymorpha gl,T,,2.15,-0.066,0.086,,,,
Meterosideros polymorpha pb,T,,2.25,-0.060,0.188,,,,
Pipturus albidus,T,,1.79,0.204,-0.004,,,,
Ilex anomala,T,,1.98,0.093,0.076,,,,
Meterosideros polymorpha gl,T,,2.04,0.045,0.084,,,,
Meterosideros polymorpha pb,T,,2.31,-0.114,0.195,,,,
Meterosideros polymorpha gl,T,,2.20,-0.108,0.089,,,,
Meterosideros polymorpha pb,T,,2.56,-0.229,0.331,,,,
Betula papyrifera,T,,2.00,0.402,0.398,,,,
Prunus serotina,T,,1.75,0.428,0.176,,,,
Fraxinus americana,T,,1.96,0.358,0.322,,,,
Quercus rubra,T,,2.04,0.406,0.447,,,,
Quercus alba,T,,2.00,0.527,0.531,,,,
Castanea dentata,T,,1.76,0.413,0.176,,,,
Ulmus americana,T,,1.81,0.301,0.114,,,,
Acer rubrum,T,,2.02,0.234,0.255,,,,
Acer saccharum,T,,2.01,0.222,0.230,,,,
Acer pensylvanicum,T,,1.77,0.405,0.176,,,,
Acalypha skutchii,T,,1.41,0.412,-0.174,,,,
Aegiphila costaricensis,T,,1.63,0.191,-0.175,,,,
